enrichment_name,score_directionality,Name & Short Definition
Email Engagement Score,"High score (close to 1) = highly responsive to email campaigns, likely to open, click, and convert from email. Low score (close to 0) = unlikely to open or interact with email content, suggesting other channels may be more effective.","EMAIL_ENGAGEMENT_SCORE — Measures the likelihood that an individual will open, read, and interact with email-based outreach and campaigns."
Sms Engagement Score,"High score (close to 1) = highly responsive to SMS campaigns, likely to open promptly and take action. Low score (close to 0) = unlikely to engage via SMS, suggesting alternative channels may be more effective.","SMS_ENGAGEMENT_SCORE — Measures the likelihood that an individual will open, read, and respond to SMS-based outreach or campaigns."
Digital Ad Engagement Score,"High score (close to 1) = highly receptive to digital advertising, more likely to notice, interact, and convert from online ads.","DIGITAL_AD_ENGAGEMENT_SCORE — Measures how likely someone is to notice, engage with (click, view, watch), or be influenced by digital ads across formats including display, social media, video, and native placements."
Impulse Buy Score,"Low score (close to 0) = less responsive to digital ads, suggesting reliance on alternative outreach channels such as email, SMS, direct mail, or in-person engagement.","IMPULSE_BUY_SCORE — Measures the likelihood that an individual will make quick, unplanned purchases with minimal deliberation."
Subscription Purchase Score,"High score (close to 1) = highly likely to initiate and maintain subscription services, often showing loyalty to recurring brands. Low score (close to 0) = less likely to commit to ongoing subscriptions, preferring one-time or short-term purchases.","SUBSCRIPTION_PURCHASE_SCORE — Predicts the likelihood that an individual will sign up for and maintain recurring subscriptions such as streaming services, software, subscription boxes, newsletters, apps, or memberships."
Overextension Risk Score,"High score (close to 1) = more likely to take on debt or financing for discretionary or luxury purchases despite limited means. Low score (close to 0) = more financially cautious, less likely to use credit for non-essential items.","OVEREXTENSION_RISK_SCORE — Measures the likelihood that an individual will spend beyond their means, potentially using credit cards, installment payment plans, or loans to finance purchases that may not be financially prudent or necessary."
Brand Loyalty Score,High score (close to 1) = highly likely to repurchase from the same brand and resist switching. Low score (close to 0) = more likely to explore and purchase from multiple competing brands.,"BRAND_LOYALTY_SCORE — Measures the likelihood that an individual will remain committed to a single brand over time, maintaining repeat purchases once converted."
Coupon Conversion Score,"High score (close to 1) = highly likely to seek and redeem coupons or promotional offers before purchasing. Low score (close to 0) = less motivated by discounts, more likely to purchase without promotional incentives.","COUPON_CONVERSION_SCORE — Measures the likelihood that an individual will use coupons, discounts, or promotional codes when making a purchase."
Urgency Response Score,"High score (close to 1) = highly likely to take action quickly when presented with time-limited or scarce offers. Low score (close to 0) = less influenced by urgency cues, more likely to maintain deliberation regardless of scarcity.","URGENCY_RESPONSE_SCORE — Measures the likelihood that an individual will respond to time-sensitive offers such as “limited supply,” “countdown timers,” or “this deal won’t last” messaging."
Influencer Response Score,"High score (close to 1) = highly likely to be influenced by well-known personalities regardless of expertise. Low score (close to 0) = less influenced by fame, more likely to base decisions on expertise, product quality, or other factors.","INFLUENCER_RESPONSE_SCORE — Measures the likelihood that an individual will be persuaded to change opinions, adopt beliefs, or purchase a product or service based on the endorsement or promotion of an influencer, celebrity, public figure (non-political), or news personality, specifically due to their fame or public recognition rather than subject matter expertise."
