internal_id,type,category,sub_category,name
F0001,core_demo,personal,Contact Identity,first_name
F0002,core_demo,personal,Contact Identity,last_name
F0003,core_demo,contact,Contact Information,business_email
F0004,core_demo,contact,Contact Information,programmatic_business_emails
F0005,core_demo,contact,Contact Information,mobile_phone
F0006,core_demo,contact,Contact Information,direct_number
F0007,core_demo,contact,Contact Information,personal_phone
F0008,core_demo,contact,Contact Information,linkedin_url
F0009,core_demo,contact,Personal Address Information,personal_address
F0010,core_demo,contact,Personal Address Information,personal_address_2
F0011,core_demo,contact,Personal Address Information,personal_city
F0012,core_demo,contact,Personal Address Information,personal_state
F0013,core_demo,contact,Personal Address Information,personal_zip
F0014,core_demo,contact,Personal Address Information,personal_zip4
F0015,core_demo,contact,Contact Information,personal_emails
F0016,core_demo,contact,Contact Information,additional_personal_emails
F0017,core_demo,personal,Contact Identity,gender
F0018,core_demo,personal,Contact Identity,age_range
F0153,core_demo,personal,Contact Identity,ethnicity
F0154,core_demo,political,Political,political_ideology
F0019,core_demo,personal,Contact Identity,married
F0020,core_demo,personal,Contact Identity,children
F0021,core_demo,personal,Personal Demographics & Financials,income_range
F0022,core_demo,personal,Personal Demographics & Financials,net_worth
F0023,core_demo,personal,Personal Demographics & Financials,homeowner
F0024,core_demo,professional,Professional & Employment Details,job_title
F0025,core_demo,professional,Professional & Employment Details,seniority_level
F0026,core_demo,professional,Professional & Employment Details,department
F0027,core_demo,professional,Professional & Employment Details,professional_address
F0028,core_demo,professional,Professional & Employment Details,professional_address2
F0029,core_demo,professional,Professional & Employment Details,professional_city
F0030,core_demo,professional,Professional & Employment Details,professional_state
F0031,core_demo,professional,Professional & Employment Details,professional_zip
F0032,core_demo,professional,Professional & Employment Details,professional_zip4
F0033,core_demo,professional,Company Information,company_name
F0034,core_demo,professional,Company Information,company_domain
F0035,core_demo,professional,Company Information,company_phone
F0036,core_demo,professional,Company Information,company_sic
F0037,core_demo,professional,Company Information,company_address
F0038,core_demo,professional,Company Information,company_city
F0039,core_demo,professional,Company Information,company_state
F0040,core_demo,professional,Company Information,company_zip
F0041,core_demo,professional,Company Information,company_linkedin_url
F0042,core_demo,professional,Company Information,company_revenue
F0043,core_demo,professional,Company Information,company_employee_count
F0044,core_demo,professional,Company Information,primary_industry
F0045,core_demo,professional,Metadata & Tracking Fields,business_email_validation_status
F0046,core_demo,professional,Metadata & Tracking Fields,business_email_last_seen
F0047,core_demo,professional,Metadata & Tracking Fields,personal_emails_validation_status
F0048,core_demo,professional,Metadata & Tracking Fields,personal_emails_last_seen
F0049,core_demo,professional,Metadata & Tracking Fields,company_last_updated
F0050,core_demo,professional,Metadata & Tracking Fields,job_title_last_updated
F0051,core_demo,professional,Metadata & Tracking Fields,last_updated
F0052,core_demo,professional,Professional & Employment Details,work_history
F0053,core_demo,professional,Professional & Employment Details,education_history
F0054,core_demo,professional,Metadata & Tracking Fields,cc_id
F0055,core_demo,professional,Company Information,company_description
F0056,core_demo,professional,Company Information,related_domains
F0057,core_demo,professional,Metadata & Tracking Fields,social_connections
F0058,core_demo,professional,Metadata & Tracking Fields,dpv_code
F0059,core_demo,professional,Company Information,company_naics
F0060,core_demo,professional,Company Information,company_country
F0061,core_demo,professional,Metadata & Tracking Fields,contact_country
F0062,core_demo,professional,Professional & Employment Details,job_title_normalized
F0063,core_demo,professional,Professional & Employment Details,seniority_level_2
F0064,core_demo,professional,Professional & Employment Details,department_2
F0065,zip_data,community,Geographic & Location Data,lat
F0066,zip_data,community,Geographic & Location Data,lng
F0067,zip_data,community,Geographic & Location Data,city
F0068,zip_data,community,Geographic & Location Data,zcta
F0069,zip_data,community,Geographic & Location Data,parent_zcta
F0070,zip_data,community,Geographic & Location Data,population
